date,county,fips,place,confirmed_cases,note,x,y,population,UPDATED_ON
1/17/2021 0:00:00,Pasadena,,91104: Pasadena,2003,,-118.123449,34.168028,39178,1/18/2021 10:01:21
1/18/2021 0:00:00,Pasadena,,91104: Pasadena,2031,,-118.123449,34.168028,39178,1/19/2021 10:01:20
1/19/2021 0:00:00,Pasadena,,91104: Pasadena,2052,,-118.123449,34.168028,39178,1/20/2021 10:01:34
1/20/2021 0:00:00,Pasadena,,91104: Pasadena,2061,,-118.123449,34.168028,39178,1/21/2021 10:01:34
1/22/2021 0:00:00,Pasadena,,91104: Pasadena,2139,,-118.123449,34.168028,39178,1/23/2021 10:01:07
1/23/2021 0:00:00,Pasadena,,91104: Pasadena,2158,,-118.123449,34.168028,39178,1/24/2021 10:01:23
1/24/2021 0:00:00,Pasadena,,91104: Pasadena,2167,,-118.123449,34.168028,39178,1/25/2021 10:01:46
1/10/2021 0:00:00,Pasadena,,91105: Pasadena,542,,-118.167933,34.139851,11907,1/10/2021 18:19:43
1/9/2021 0:00:00,Pasadena,,91105: Pasadena,542,,-118.167933,34.139851,11907,1/10/2021 18:19:43
1/8/2021 0:00:00,Pasadena,,91105: Pasadena,534,,-118.167933,34.139851,11907,1/10/2021 18:19:43
1/7/2021 0:00:00,Pasadena,,91105: Pasadena,522,,-118.167933,34.139851,11907,1/10/2021 18:19:43
1/6/2021 0:00:00,Pasadena,,91105: Pasadena,494,,-118.167933,34.139851,11907,1/10/2021 18:19:43
1/5/2021 0:00:00,Pasadena,,91105: Pasadena,487,,-118.167933,34.139851,11907,1/10/2021 18:19:43
1/4/2021 0:00:00,Pasadena,,91105: Pasadena,469,,-118.167933,34.139851,11907,1/10/2021 18:19:43
1/3/2021 0:00:00,Pasadena,,91105: Pasadena,461,,-118.167933,34.139851,11907,1/10/2021 18:19:43
1/2/2021 0:00:00,Pasadena,,91105: Pasadena,458,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/31/2020 0:00:00,Pasadena,,91105: Pasadena,452,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/30/2020 0:00:00,Pasadena,,91105: Pasadena,436,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/29/2020 0:00:00,Pasadena,,91105: Pasadena,425,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/28/2020 0:00:00,Pasadena,,91105: Pasadena,423,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/27/2020 0:00:00,Pasadena,,91105: Pasadena,416,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/26/2020 0:00:00,Pasadena,,91105: Pasadena,409,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/24/2020 0:00:00,Pasadena,,91105: Pasadena,390,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/23/2020 0:00:00,Pasadena,,91105: Pasadena,390,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/22/2020 0:00:00,Pasadena,,91105: Pasadena,385,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/21/2020 0:00:00,Pasadena,,91105: Pasadena,380,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/20/2020 0:00:00,Pasadena,,91105: Pasadena,377,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/19/2020 0:00:00,Pasadena,,91105: Pasadena,372,,-118.167933,34.139851,11907,1/10/2021 18:19:43
